
# Surface 0 of 1 surfaces

# Curve title: ""numerics/figures/profile1-1um-gnu.dat" using 1:2:3"
# IsoCurve 0, 65536 points
# x y z type
6.6667000e-02 3.9220000e-03 4.2178000e+00 4.2178 i
7.0588000e-02 3.9220000e-03 4.1960700e+00 4.19607 i
7.4510000e-02 3.9220000e-03 4.1956300e+00 4.19563 i
7.8431000e-02 3.9220000e-03 4.1880900e+00 4.18809 i
8.2353000e-02 3.9220000e-03 4.0883300e+00 4.08833 i
8.6275000e-02 3.9220000e-03 4.1375500e+00 4.13755 i
9.0196000e-02 3.9220000e-03 4.2080400e+00 4.20804 i
9.4118000e-02 3.9220000e-03 4.2146900e+00 4.21469 i
9.8039000e-02 3.9220000e-03 4.2780900e+00 4.27809 i
1.0196100e-01 3.9220000e-03 4.1996100e+00 4.19961 i
1.0588200e-01 3.9220000e-03 4.2275500e+00 4.22755 i
1.0980400e-01 3.9220000e-03 4.2483800e+00 4.24838 i
1.1372500e-01 3.9220000e-03 4.2408500e+00 4.24085 i
1.1764700e-01 3.9220000e-03 4.2758700e+00 4.27587 i
1.2156900e-01 3.9220000e-03 4.2115800e+00 4.21158 i
1.2549000e-01 3.9220000e-03 4.2678900e+00 4.26789 i
1.2941200e-01 3.9220000e-03 4.1681300e+00 4.16813 i
1.3333300e-01 3.9220000e-03 4.1960600e+00 4.19606 i
1.3725500e-01 3.9220000e-03 4.2452800e+00 4.24528 i
1.4117600e-01 3.9220000e-03 4.1668000e+00 4.1668 i
1.4509800e-01 3.9220000e-03 4.1521700e+00 4.15217 i
1.4902000e-01 3.9220000e-03 4.1659100e+00 4.16591 i
1.5294100e-01 3.9220000e-03 4.2222200e+00 4.22222 i
1.5686300e-01 3.9220000e-03 4.1295500e+00 4.12955 i
1.6078400e-01 3.9220000e-03 4.2568000e+00 4.2568 i
1.6470600e-01 3.9220000e-03 4.1215700e+00 4.12157 i
1.6862700e-01 3.9220000e-03 4.1636900e+00 4.16369 i
1.7254900e-01 3.9220000e-03 4.1490600e+00 4.14906 i
1.7647100e-01 3.9220000e-03 4.1131500e+00 4.11315 i
1.8039200e-01 3.9220000e-03 4.2262000e+00 4.2262 i
1.8431400e-01 3.9220000e-03 4.1832000e+00 4.1832 i
1.8823500e-01 3.9220000e-03 4.2253200e+00 4.22532 i
1.9215700e-01 3.9220000e-03 4.2319700e+00 4.23197 i
1.9607800e-01 3.9220000e-03 4.1534900e+00 4.15349 i
2.0000000e-01 3.9220000e-03 4.0821100e+00 4.08211 i
2.0392200e-01 3.9220000e-03 4.0532900e+00 4.05329 i
2.0784300e-01 3.9220000e-03 4.1308800e+00 4.13088 i
